p,n_scc,largest_scc
0.000000, 100, 1
0.000100, 100, 1
0.000200, 100, 1
0.000300, 100, 1
0.000400, 100, 1
0.000500, 100, 1
0.000600, 100, 1
0.000700, 100, 1
0.000800, 100, 1
0.000900, 100, 1
0.001000, 100, 1
0.001100, 100, 1
0.001200, 100, 1
0.001300, 100, 1
0.001400, 100, 1
0.001500, 100, 1
0.001600, 100, 1
0.001700, 100, 1
0.001800, 100, 1
0.001900, 100, 1
0.002000, 100, 1
0.002100, 100, 1
0.002200, 100, 1
0.002300, 100, 1
0.002400, 100, 1
0.002500, 100, 1
0.002600, 100, 1
0.002700, 100, 1
0.002800, 100, 1
0.002900, 100, 1
0.003000, 100, 1
0.003100, 100, 1
0.003200, 100, 1
0.003300, 100, 1
0.003400, 100, 1
0.003500, 100, 1
0.003600, 100, 1
0.003700, 100, 1
0.003800, 100, 1
0.003900, 100, 1
0.004000, 100, 1
0.004100, 100, 1
0.004200, 100, 1
0.004300, 100, 1
0.004400, 100, 1
0.004500, 100, 1
0.004600, 100, 1
0.004700, 100, 1
0.004800, 100, 1
0.004900, 100, 1
0.005000, 99, 2
0.005100, 100, 1
0.005200, 100, 1
0.005300, 100, 1
0.005400, 100, 1
0.005500, 100, 1
0.005600, 100, 1
0.005700, 100, 1
0.005800, 100, 1
0.005900, 100, 1
0.006000, 100, 1
0.006100, 100, 1
0.006200, 100, 1
0.006300, 100, 1
0.006400, 100, 1
0.006500, 100, 1
0.006600, 100, 1
0.006700, 98, 3
0.006800, 100, 1
0.006900, 100, 1
0.007000, 100, 1
0.007100, 100, 1
0.007200, 100, 1
0.007300, 99, 2
0.007400, 100, 1
0.007500, 100, 1
0.007600, 100, 1
0.007700, 100, 1
0.007800, 99, 2
0.007900, 97, 4
0.008000, 96, 4
0.008100, 100, 1
0.008200, 94, 7
0.008300, 99, 2
0.008400, 100, 1
0.008500, 85, 10
0.008600, 100, 1
0.008700, 99, 2
0.008800, 98, 3
0.008900, 99, 2
0.009000, 95, 6
0.009100, 99, 2
0.009200, 94, 4
0.009300, 99, 2
0.009400, 96, 3
0.009500, 98, 2
0.009600, 94, 7
0.009700, 100, 1
0.009800, 95, 4
0.009900, 97, 3
0.010000, 86, 15
0.010100, 95, 5
0.010200, 97, 2
0.010300, 95, 5
0.010400, 99, 2
0.010500, 100, 1
0.010600, 100, 1
0.010700, 86, 15
0.010800, 100, 1
0.010900, 97, 3
0.011000, 94, 6
0.011100, 96, 4
0.011200, 76, 22
0.011300, 87, 8
0.011400, 79, 21
0.011500, 90, 9
0.011600, 91, 7
0.011700, 92, 5
0.011800, 89, 9
0.011900, 94, 5
0.012000, 100, 1
0.012100, 97, 4
0.012200, 78, 23
0.012300, 69, 31
0.012400, 92, 9
0.012500, 95, 6
0.012600, 100, 1
0.012700, 97, 4
0.012800, 58, 43
0.012900, 95, 4
0.013000, 100, 1
0.013100, 87, 8
0.013200, 94, 6
0.013300, 63, 38
0.013400, 94, 6
0.013500, 90, 8
0.013600, 96, 5
0.013700, 84, 14
0.013800, 72, 29
0.013900, 77, 24
0.014000, 77, 23
0.014100, 72, 26
0.014200, 54, 47
0.014300, 62, 39
0.014400, 92, 8
0.014500, 56, 42
0.014600, 100, 1
0.014700, 99, 2
0.014800, 55, 46
0.014900, 68, 32
0.015000, 67, 32
0.015100, 49, 52
0.015200, 57, 44
0.015300, 40, 61
0.015400, 66, 29
0.015500, 80, 17
0.015600, 60, 40
0.015700, 64, 37
0.015800, 51, 48
0.015900, 66, 35
0.016000, 59, 41
0.016100, 62, 35
0.016200, 73, 27
0.016300, 74, 27
0.016400, 91, 6
0.016500, 62, 38
0.016600, 64, 27
0.016700, 61, 40
0.016800, 71, 25
0.016900, 46, 53
0.017000, 54, 37
0.017100, 44, 57
0.017200, 52, 42
0.017300, 51, 50
0.017400, 67, 34
0.017500, 74, 26
0.017600, 65, 36
0.017700, 59, 42
0.017800, 51, 41
0.017900, 69, 32
0.018000, 27, 74
0.018100, 54, 47
0.018200, 45, 53
0.018300, 51, 48
0.018400, 72, 29
0.018500, 49, 47
0.018600, 74, 15
0.018700, 50, 51
0.018800, 40, 61
0.018900, 41, 60
0.019000, 44, 57
0.019100, 42, 58
0.019200, 68, 19
0.019300, 39, 62
0.019400, 45, 56
0.019500, 37, 64
0.019600, 38, 63
0.019700, 44, 57
0.019800, 47, 54
0.019900, 37, 64
0.020000, 39, 62
0.020100, 37, 64
0.020200, 32, 69
0.020300, 47, 54
0.020400, 24, 77
0.020500, 43, 56
0.020600, 34, 67
0.020700, 42, 59
0.020800, 54, 47
0.020900, 34, 67
0.021000, 46, 54
0.021100, 34, 67
0.021200, 44, 57
0.021300, 22, 79
0.021400, 40, 60
0.021500, 33, 68
0.021600, 42, 59
0.021700, 50, 51
0.021800, 27, 74
0.021900, 21, 80
0.022000, 30, 71
0.022100, 25, 76
0.022200, 21, 80
0.022300, 34, 67
0.022400, 17, 84
0.022500, 24, 77
0.022600, 36, 65
0.022700, 42, 59
0.022800, 20, 81
0.022900, 25, 76
0.023000, 21, 80
0.023100, 25, 76
0.023200, 19, 82
0.023300, 24, 77
0.023400, 35, 66
0.023500, 32, 69
0.023600, 33, 68
0.023700, 19, 82
0.023800, 25, 76
0.023900, 29, 72
0.024000, 17, 84
0.024100, 27, 74
0.024200, 18, 83
0.024300, 18, 83
0.024400, 25, 76
0.024500, 27, 74
0.024600, 30, 70
0.024700, 20, 81
0.024800, 26, 75
0.024900, 14, 87
0.025000, 23, 78
0.025100, 16, 85
0.025200, 23, 78
0.025300, 16, 85
0.025400, 22, 79
0.025500, 23, 78
0.025600, 20, 81
0.025700, 15, 86
0.025800, 14, 87
