eps,n_cluster,largest_cluster,n_noise
1.000000, 16.000000, 5908.000000, 498.000000
2.000000, 23.000000, 6217.000000, 207.000000
3.000000, 23.000000, 6218.000000, 206.000000
4.000000, 23.000000, 6218.000000, 206.000000
5.000000, 23.000000, 6218.000000, 206.000000
6.000000, 23.000000, 6218.000000, 206.000000
7.000000, 23.000000, 6218.000000, 206.000000
8.000000, 23.000000, 6218.000000, 206.000000
9.000000, 23.000000, 6218.000000, 206.000000
