p,n_scc,largest_scc
0.001000, 10, 1
0.002000, 10, 1
0.003000, 10, 1
0.004000, 10, 1
0.005000, 10, 1
0.006000, 10, 1
0.007000, 10, 1
0.008000, 10, 1
0.009000, 10, 1
0.010000, 10, 1
0.011000, 10, 1
0.012000, 10, 1
0.013000, 10, 1
0.014000, 10, 1
0.015000, 10, 1
0.016000, 10, 1
0.017000, 10, 1
0.018000, 10, 1
0.019000, 10, 1
0.020000, 10, 1
0.021000, 10, 1
0.022000, 10, 1
0.023000, 10, 1
0.024000, 10, 1
0.025000, 10, 1
0.026000, 10, 1
0.027000, 10, 1
0.028000, 10, 1
0.029000, 10, 1
0.030000, 10, 1
0.031000, 10, 1
0.032000, 10, 1
0.033000, 10, 1
0.034000, 10, 1
0.035000, 10, 1
0.036000, 10, 1
0.037000, 10, 1
0.038000, 10, 1
0.039000, 10, 1
0.040000, 10, 1
0.041000, 10, 1
0.042000, 10, 1
0.043000, 10, 1
0.044000, 10, 1
0.045000, 10, 1
0.046000, 10, 1
0.047000, 10, 1
0.048000, 10, 1
0.049000, 9, 2
0.050000, 10, 1
0.051000, 10, 1
0.052000, 10, 1
0.053000, 10, 1
0.054000, 10, 1
0.055000, 10, 1
0.056000, 10, 1
0.057000, 8, 3
0.058000, 10, 1
0.059000, 10, 1
0.060000, 10, 1
0.061000, 10, 1
0.062000, 10, 1
0.063000, 10, 1
0.064000, 10, 1
0.065000, 10, 1
0.066000, 10, 1
0.067000, 10, 1
0.068000, 10, 1
0.069000, 10, 1
0.070000, 10, 1
0.071000, 10, 1
0.072000, 8, 3
0.073000, 10, 1
0.074000, 10, 1
0.075000, 10, 1
0.076000, 10, 1
0.077000, 9, 2
0.078000, 10, 1
0.079000, 10, 1
0.080000, 10, 1
0.081000, 10, 1
0.082000, 9, 2
0.083000, 10, 1
0.084000, 10, 1
0.085000, 8, 3
0.086000, 10, 1
0.087000, 9, 2
0.088000, 6, 3
0.089000, 8, 2
0.090000, 9, 2
0.091000, 10, 1
0.092000, 10, 1
0.093000, 10, 1
0.094000, 7, 4
0.095000, 9, 2
0.096000, 10, 1
0.097000, 8, 3
0.098000, 8, 2
0.099000, 10, 1
0.100000, 10, 1
