p,n_scc,largest_scc
0.000254, 1943, 8058
0.000255, 1927, 8074
0.000256, 1835, 8166
0.000257, 1883, 8118
0.000258, 1840, 8161
0.000259, 1928, 8073
0.000260, 1858, 8142
0.000261, 1892, 8109
0.000262, 1856, 8145
0.000263, 1712, 8289
0.000264, 1638, 8363
0.000265, 1712, 8289
0.000266, 1651, 8349
0.000267, 1728, 8273
0.000268, 1601, 8400
0.000269, 1666, 8335
0.000270, 1569, 8432
0.000271, 1686, 8315
0.000272, 1552, 8449
0.000273, 1579, 8422
0.000274, 1621, 8380
0.000275, 1559, 8442
0.000276, 1569, 8432
0.000277, 1501, 8500
0.000278, 1460, 8541
0.000279, 1482, 8519
0.000280, 1494, 8507
0.000281, 1457, 8544
0.000282, 1416, 8585
0.000283, 1402, 8599
0.000284, 1307, 8694
0.000285, 1413, 8588
0.000286, 1387, 8614
0.000287, 1336, 8665
0.000288, 1290, 8711
0.000289, 1204, 8797
0.000290, 1258, 8743
0.000291, 1411, 8590
0.000292, 1302, 8699
0.000293, 1264, 8737
0.000294, 1247, 8754
0.000295, 1160, 8841
0.000296, 1188, 8813
0.000297, 1241, 8760
0.000298, 1154, 8847
0.000299, 1223, 8778
0.000300, 1211, 8790
0.000301, 1186, 8815
0.000302, 1091, 8910
0.000303, 1088, 8913
0.000304, 1134, 8867
0.000305, 1133, 8868
0.000306, 1076, 8925
0.000307, 1015, 8986
0.000308, 1055, 8946
0.000309, 1083, 8918
0.000310, 1036, 8965
0.000311, 1032, 8969
0.000312, 1086, 8915
0.000313, 957, 9044
0.000314, 995, 9006
0.000315, 911, 9090
0.000316, 951, 9050
0.000317, 982, 9019
0.000318, 912, 9089
0.000319, 913, 9088
0.000320, 880, 9121
0.000321, 908, 9093
0.000322, 884, 9117
0.000323, 917, 9084
0.000324, 897, 9104
0.000325, 856, 9145
0.000326, 919, 9082
0.000327, 796, 9205
0.000328, 780, 9221
0.000329, 897, 9104
0.000330, 856, 9145
0.000331, 806, 9195
0.000332, 858, 9143
0.000333, 787, 9214
0.000334, 821, 9180
0.000335, 786, 9215
0.000336, 706, 9295
0.000337, 785, 9216
0.000338, 738, 9263
0.000339, 754, 9247
0.000340, 734, 9267
0.000341, 714, 9287
0.000342, 725, 9276
0.000343, 777, 9224
0.000344, 734, 9267
0.000345, 712, 9289
0.000346, 666, 9335
0.000347, 663, 9338
0.000348, 696, 9305
0.000349, 717, 9284
0.000350, 647, 9354
0.000351, 665, 9336
0.000352, 673, 9328
0.000353, 632, 9369
0.000354, 647, 9354
0.000355, 625, 9376
0.000356, 654, 9347
0.000357, 668, 9333
0.000358, 634, 9367
0.000359, 643, 9358
0.000360, 560, 9441
0.000361, 556, 9445
0.000362, 537, 9464
0.000363, 596, 9405
0.000364, 570, 9431
0.000365, 590, 9411
0.000366, 546, 9455
0.000367, 524, 9477
0.000368, 529, 9472
0.000369, 535, 9466
0.000370, 542, 9459
0.000371, 525, 9476
0.000372, 569, 9432
0.000373, 522, 9479
0.000374, 488, 9513
0.000375, 459, 9542
0.000376, 478, 9523
0.000377, 516, 9485
0.000378, 483, 9518
0.000379, 456, 9545
0.000380, 502, 9499
0.000381, 456, 9545
0.000382, 484, 9517
0.000383, 463, 9538
0.000384, 488, 9513
0.000385, 503, 9498
0.000386, 424, 9577
0.000387, 469, 9532
0.000388, 475, 9526
0.000389, 431, 9570
0.000390, 434, 9567
0.000391, 454, 9547
0.000392, 420, 9581
0.000393, 443, 9558
0.000394, 419, 9582
0.000395, 405, 9596
0.000396, 401, 9600
0.000397, 399, 9602
0.000398, 426, 9575
0.000399, 389, 9612
0.000400, 379, 9622
0.000401, 338, 9663
0.000402, 394, 9607
0.000403, 355, 9646
0.000404, 389, 9612
0.000405, 381, 9620
0.000406, 399, 9602
0.000407, 377, 9624
0.000408, 384, 9617
0.000409, 349, 9652
0.000410, 319, 9682
0.000411, 369, 9632
0.000412, 356, 9645
0.000413, 333, 9668
0.000414, 361, 9640
0.000415, 330, 9671
0.000416, 357, 9644
0.000417, 326, 9675
0.000418, 329, 9672
0.000419, 345, 9656
0.000420, 340, 9661
