p,n_scc,largest_scc
0.000000, 1000, 1
0.000010, 1000, 1
0.000020, 1000, 1
0.000030, 1000, 1
0.000040, 1000, 1
0.000050, 1000, 1
0.000060, 1000, 1
0.000070, 1000, 1
0.000080, 1000, 1
0.000090, 1000, 1
0.000100, 1000, 1
0.000110, 1000, 1
0.000120, 1000, 1
0.000130, 1000, 1
0.000140, 1000, 1
0.000150, 1000, 1
0.000160, 1000, 1
0.000170, 1000, 1
0.000180, 1000, 1
0.000190, 1000, 1
0.000200, 1000, 1
0.000210, 1000, 1
0.000220, 1000, 1
0.000230, 1000, 1
0.000240, 1000, 1
0.000250, 1000, 1
0.000260, 1000, 1
0.000270, 1000, 1
0.000280, 1000, 1
0.000290, 1000, 1
0.000300, 1000, 1
0.000310, 1000, 1
0.000320, 999, 2
0.000330, 1000, 1
0.000340, 1000, 1
0.000350, 1000, 1
0.000360, 1000, 1
0.000370, 1000, 1
0.000380, 1000, 1
0.000390, 999, 2
0.000400, 1000, 1
0.000410, 1000, 1
0.000420, 1000, 1
0.000430, 999, 2
0.000440, 1000, 1
0.000450, 998, 3
0.000460, 1000, 1
0.000470, 1000, 1
0.000480, 1000, 1
0.000490, 1000, 1
0.000500, 1000, 1
0.000510, 1000, 1
0.000520, 1000, 1
0.000530, 1000, 1
0.000540, 1000, 1
0.000550, 999, 2
0.000560, 1000, 1
0.000570, 1000, 1
0.000580, 1000, 1
0.000590, 1000, 1
0.000600, 1000, 1
0.000610, 1000, 1
0.000620, 1000, 1
0.000630, 1000, 1
0.000640, 1000, 1
0.000650, 1000, 1
0.000660, 1000, 1
0.000670, 1000, 1
0.000680, 992, 8
0.000690, 999, 2
0.000700, 1000, 1
0.000710, 999, 2
0.000720, 1000, 1
0.000730, 1000, 1
0.000740, 1000, 1
0.000750, 995, 6
0.000760, 999, 2
0.000770, 1000, 1
0.000780, 997, 4
0.000790, 1000, 1
0.000800, 991, 7
0.000810, 1000, 1
0.000820, 991, 6
0.000830, 992, 9
0.000840, 994, 7
0.000850, 1000, 1
0.000860, 993, 5
0.000870, 1000, 1
0.000880, 1000, 1
0.000890, 999, 2
0.000900, 999, 2
0.000910, 1000, 1
0.000920, 996, 5
0.000930, 989, 7
0.000940, 991, 10
0.000950, 999, 2
0.000960, 1000, 1
0.000970, 989, 12
0.000980, 989, 10
0.000990, 999, 2
0.001000, 1000, 1
0.001010, 1000, 1
0.001020, 958, 23
0.001030, 974, 12
0.001040, 889, 112
0.001050, 992, 4
0.001060, 991, 6
0.001070, 1000, 1
0.001080, 993, 4
0.001090, 994, 4
0.001100, 915, 84
