p,n_scc,largest_scc
0.000000, 100, 1
0.000100, 100, 1
0.000200, 100, 1
0.000300, 100, 1
0.000400, 100, 1
0.000500, 99, 2
0.000600, 100, 1
0.000700, 100, 1
0.000800, 100, 1
0.000900, 100, 1
0.001000, 100, 1
0.001100, 100, 1
0.001200, 100, 1
0.001300, 100, 1
0.001400, 100, 1
0.001500, 100, 1
0.001600, 100, 1
0.001700, 100, 1
0.001800, 100, 1
0.001900, 100, 1
0.002000, 100, 1
0.002100, 100, 1
0.002200, 100, 1
0.002300, 100, 1
0.002400, 100, 1
0.002500, 100, 1
0.002600, 100, 1
0.002700, 100, 1
0.002800, 100, 1
0.002900, 100, 1
0.003000, 100, 1
0.003100, 100, 1
0.003200, 100, 1
0.003300, 100, 1
0.003400, 100, 1
0.003500, 100, 1
0.003600, 100, 1
0.003700, 100, 1
0.003800, 100, 1
0.003900, 100, 1
0.004000, 100, 1
0.004100, 100, 1
0.004200, 100, 1
0.004300, 100, 1
0.004400, 100, 1
0.004500, 100, 1
0.004600, 99, 2
0.004700, 100, 1
0.004800, 99, 2
0.004900, 100, 1
0.005000, 100, 1
0.005100, 100, 1
0.005200, 100, 1
0.005300, 99, 2
0.005400, 100, 1
0.005500, 96, 5
0.005600, 100, 1
0.005700, 99, 2
0.005800, 100, 1
0.005900, 100, 1
0.006000, 100, 1
0.006100, 100, 1
0.006200, 100, 1
0.006300, 100, 1
0.006400, 97, 4
0.006500, 99, 2
0.006600, 100, 1
0.006700, 100, 1
0.006800, 100, 1
0.006900, 100, 1
0.007000, 99, 2
0.007100, 96, 5
0.007200, 100, 1
0.007300, 100, 1
0.007400, 98, 2
0.007500, 100, 1
0.007600, 100, 1
0.007700, 100, 1
0.007800, 100, 1
0.007900, 98, 3
0.008000, 100, 1
0.008100, 100, 1
0.008200, 100, 1
0.008300, 98, 3
0.008400, 97, 3
0.008500, 100, 1
0.008600, 100, 1
0.008700, 100, 1
0.008800, 91, 7
0.008900, 99, 2
0.009000, 97, 3
0.009100, 98, 2
0.009200, 97, 4
0.009300, 86, 11
0.009400, 99, 2
0.009500, 100, 1
0.009600, 99, 2
0.009700, 100, 1
0.009800, 100, 1
0.009900, 90, 5
0.010000, 94, 5
0.010100, 100, 1
0.010200, 100, 1
0.010300, 99, 2
0.010400, 95, 6
0.010500, 100, 1
0.010600, 88, 11
0.010700, 100, 1
0.010800, 94, 6
0.010900, 100, 1
0.011000, 100, 1
0.011100, 99, 2
0.011200, 95, 3
0.011300, 100, 1
0.011400, 97, 3
0.011500, 85, 16
0.011600, 83, 18
0.011700, 100, 1
0.011800, 99, 2
0.011900, 98, 2
0.012000, 76, 22
0.012100, 83, 17
0.012200, 72, 26
0.012300, 96, 3
0.012400, 95, 4
0.012500, 98, 3
0.012600, 93, 8
0.012700, 77, 20
0.012800, 81, 20
0.012900, 99, 2
0.013000, 84, 17
0.013100, 86, 11
0.013200, 67, 26
0.013300, 57, 37
0.013400, 64, 37
0.013500, 82, 19
0.013600, 71, 22
0.013700, 69, 32
0.013800, 92, 9
0.013900, 95, 6
0.014000, 66, 32
0.014100, 94, 5
0.014200, 71, 30
0.014300, 93, 5
0.014400, 58, 43
0.014500, 55, 45
0.014600, 60, 41
0.014700, 81, 9
0.014800, 64, 21
0.014900, 86, 13
0.015000, 68, 33
0.015100, 66, 33
0.015200, 97, 4
0.015300, 80, 21
0.015400, 85, 12
0.015500, 53, 48
0.015600, 68, 33
0.015700, 67, 34
0.015800, 70, 20
0.015900, 89, 10
0.016000, 44, 57
0.016100, 81, 9
0.016200, 56, 44
0.016300, 49, 50
0.016400, 69, 32
0.016500, 61, 40
0.016600, 63, 38
0.016700, 34, 67
0.016800, 28, 73
0.016900, 43, 57
0.017000, 46, 55
0.017100, 54, 46
0.017200, 53, 48
0.017300, 47, 52
0.017400, 45, 56
0.017500, 51, 50
0.017600, 46, 54
0.017700, 35, 65
0.017800, 67, 34
0.017900, 40, 61
0.018000, 31, 70
0.018100, 35, 66
0.018200, 46, 54
0.018300, 28, 73
0.018400, 42, 59
0.018500, 53, 48
0.018600, 36, 62
0.018700, 66, 34
0.018800, 36, 65
0.018900, 27, 74
0.019000, 43, 58
0.019100, 30, 70
0.019200, 26, 75
0.019300, 42, 59
0.019400, 43, 58
0.019500, 43, 56
0.019600, 39, 62
0.019700, 35, 66
0.019800, 32, 69
0.019900, 30, 71
0.020000, 34, 67
0.020100, 70, 31
0.020200, 40, 61
0.020300, 30, 71
0.020400, 24, 77
0.020500, 22, 79
0.020600, 33, 68
0.020700, 36, 65
0.020800, 32, 69
0.020900, 28, 72
0.021000, 33, 68
0.021100, 49, 52
0.021200, 26, 75
0.021300, 29, 72
0.021400, 23, 78
0.021500, 23, 78
0.021600, 29, 71
0.021700, 28, 72
0.021800, 29, 72
0.021900, 35, 66
0.022000, 23, 78
0.022100, 37, 64
0.022200, 31, 70
0.022300, 35, 66
0.022400, 30, 71
0.022500, 24, 77
0.022600, 36, 65
0.022700, 34, 67
0.022800, 21, 80
0.022900, 26, 75
0.023000, 36, 65
0.023100, 19, 80
0.023200, 24, 77
0.023300, 27, 74
0.023400, 32, 69
0.023500, 21, 80
0.023600, 30, 71
0.023700, 17, 84
0.023800, 22, 79
0.023900, 19, 82
0.024000, 21, 80
0.024100, 17, 84
0.024200, 18, 83
0.024300, 32, 69
0.024400, 27, 74
0.024500, 26, 75
0.024600, 19, 82
0.024700, 25, 76
0.024800, 17, 84
0.024900, 29, 71
0.025000, 13, 88
0.025100, 14, 87
0.025200, 17, 84
0.025300, 16, 85
0.025400, 19, 82
0.025500, 29, 72
0.025600, 21, 78
0.025700, 27, 74
0.025800, 16, 85
